closest_distance_km,relative_velocity_km_s,altitude_difference_km,time_to_closest_sec,priority_difference,collision_risk
11.87,11.289,2.979,2385,0,0
14.044,6.501,11.935,987,2,0
10.882,6.729,22.987,2259,0,0
13.303,6.817,50.017,1635,2,0
4.305,9.263,27.627,2878,0,0
10.168,7.527,16.975,492,0,0
7.741,6.047,29.989,1392,7,0
3.25,9.998,35.793,961,1,0
8.946,8.604,38.409,2407,2,0
15.727,5.434,29.182,2216,4,0
3.834,7.123,38.771,1016,2,0
14.818,8.47,14.271,966,4,0
16.758,5.633,5.814,1229,1,0
17.505,3.629,24.407,1719,0,0
9.75,5.014,21.564,1255,4,0
6.585,6.515,26.013,1116,2,0
10.073,8.663,29.391,967,2,0
18.363,7.06,1.532,1612,4,0
8.22,6.608,32.825,2734,2,0
11.938,9.2,26.788,1665,8,0
7.171,8.303,28.981,1118,2,0
7.968,6.448,29.349,611,1,0
10.512,3.713,37.323,1331,0,0
16.35,12.422,41.794,1568,10,0
14.942,7.652,6.447,1092,5,0
15.935,5.781,8.883,3350,0,0
10.336,10.535,25.6,1349,0,0
5.789,8.404,44.571,2284,0,0
11.918,9.845,29.778,1802,2,0
10.371,7.099,27.852,1350,5,0
8.447,6.985,47.77,726,8,0
14.771,6.486,12.935,1153,0,0
11.164,8.163,32.277,1757,3,0
14.598,6.475,23.84,1363,2,0
6.458,7.799,15.844,462,5,0
14.221,8.466,19.204,2819,1,0
16.515,8.281,27.699,1565,10,0
9.108,7.698,19.928,1315,0,0
8.024,6.84,0.538,3149,1,0
7.309,7.876,30.878,1508,0,0
13.868,10.467,10.19,1988,0,0
7.629,5.953,46.176,3142,1,0
9.675,6.541,0.783,1956,0,0
8.942,5.842,19.999,1614,3,0
10.435,6.553,14.475,978,0,0
10.828,4.582,0.962,1343,5,0
5.653,10.098,44.173,1169,2,0
14.453,6.105,5.727,1014,0,0
3.45,7.791,23.49,2240,4,0
13.393,9.598,20.076,559,4,0
8.345,7.323,25.641,1394,3,0
11.391,4.379,4.514,2457,0,0
6.339,7.597,0.569,550,1,0
12.235,6.268,46.076,1385,1,0
10.456,7.015,24.915,969,5,0
13.209,5.052,29.183,1308,2,0
13.546,9.792,32.978,678,0,0
8.606,7.621,3.702,1988,0,0
11.79,6.491,15.439,581,6,0
16.421,5.074,48.38,1146,4,0
10.991,8.448,40.225,441,1,0
15.734,8.771,30.156,1296,1,0
10.182,7.625,23.807,3031,0,0
10.887,7.714,33.478,1465,1,0
12.537,7.289,9.4,1988,1,0
17.947,4.918,15.532,1997,2,0
6.683,10.898,29.329,2318,0,0
12.549,7.854,26.19,1524,1,0
6.947,8.305,45.077,1109,6,0
6.4,7.431,2.262,347,0,0
1.508,8.133,28.794,1334,9,1
17.047,4.494,18.045,1168,5,0
10.581,10.979,18.424,706,1,0
5.117,6.316,32.234,2097,3,0
7.38,6.18,16.677,2520,0,0
10.724,7.307,28.089,1196,3,0
5.581,12.066,37.428,1734,4,1
3.717,8.329,17.067,2979,1,0
10.973,7.289,2.014,1328,2,0
18.211,9.862,5.833,422,4,0
5.666,10.714,8.335,1114,2,0
16.237,10.759,17.734,2585,8,1
7.767,8.234,8.238,1321,2,0
8.567,6.761,40.188,2108,0,0
5.664,9.443,50.729,560,1,0
7.119,4.434,9.104,1654,4,0
7.14,8.817,3.963,1147,0,1
6.261,8.713,19.294,319,2,0
6.152,6.152,7.842,483,3,0
15.761,7.024,35.686,2995,3,0
9.8,7.149,22.302,1971,0,0
14.115,5.051,36.911,1967,0,0
11.781,6.472,35.453,561,1,0
5.672,5.107,12.227,1565,0,0
4.579,8.552,33.756,1149,7,1
15.841,6.899,11.978,2379,2,0
11.217,7.593,3.314,2728,4,0
17.543,6.432,2.82,1948,2,0
13.464,10.315,41.364,158,3,0
16.861,9.969,53.254,1029,1,0
16.499,6.233,37.898,873,3,0
16.166,3.867,1.12,917,1,0
9.593,11.453,3.268,844,0,1
13.152,6.771,17.876,1571,0,0
13.537,3.917,13.359,513,1,0
12.021,8.972,26.23,949,6,0
6.457,7.483,27.21,803,1,0
11.728,5.093,22.517,2440,2,0
3.359,7.469,16.022,1392,2,0
10.986,9.415,37.035,1206,0,0
3.887,6.158,17.403,1647,3,0
9.517,6.951,3.311,2071,3,0
10.152,6.125,3.361,509,0,0
12.444,6.311,10.127,1916,2,0
10.107,9.673,3.876,818,2,0
11.415,8.625,30.762,1561,0,0
11.281,11.172,6.713,1895,5,1
16.105,7.123,39.718,2825,4,0
12.007,13.524,9.572,1712,1,0
10.804,7.097,2.722,1701,1,0
9.944,5.898,6.454,493,7,0
18.155,7.196,4.319,2370,2,0
2.151,7.534,9.806,1359,0,0
0.358,6.272,6.895,494,0,1
9.68,8.345,31.616,1802,2,0
18.083,5.294,19.78,1159,3,0
4.386,5.701,11.415,952,6,0
15.029,7.346,13.437,1100,3,0
12.296,7.506,46.668,1158,8,0
14.198,9.063,20.82,2951,0,0
9.787,5.371,28.115,521,3,0
11.797,7.864,49.133,3092,0,0
8.187,10.168,19.78,2961,7,0
5.971,8.643,16.426,1543,5,0
11.277,8.331,14.669,2196,3,0
9.031,6.769,10.015,3480,3,0
13.151,3.857,20.346,2578,0,0
9.739,4.257,13.067,2205,7,0
9.99,8.419,41.452,2436,0,0
15.698,4.493,30.664,1134,0,0
3.059,5.421,19.017,1731,6,0
9.149,12.516,40.791,1159,0,0
17.766,5.133,48.155,1762,3,0
3.774,6.112,19.99,1124,0,0
13.547,8.354,29.421,2705,4,0
14.658,4.52,35.21,3092,0,0
12.207,6.147,26.982,1796,4,0
12.251,6.947,42.245,2813,3,0
15.522,6.676,36.46,963,2,0
7.067,4.86,13.932,2094,6,0
18.669,5.739,15.697,534,1,0
8.631,5.584,3.768,1044,0,0
8.452,6.124,30.313,1553,2,0
17.803,2.625,31.252,2323,0,0
15.338,6.972,14.283,565,4,0
17.17,3.7,35.785,2189,2,0
18.152,9.323,23.168,224,0,0
9.937,8.319,1.841,862,0,0
12.31,12.275,10.806,1659,0,0
8.716,7.146,7.496,2028,0,0
12.165,10.394,22.991,1656,5,0
8.064,10.992,13.403,2207,0,0
8.361,7.618,27.61,1204,1,0
11.467,8.34,20.124,2273,2,0
13.37,4.645,16.925,3294,2,0
0.934,6.919,18.093,714,4,0
7.774,4.487,34.097,2764,0,0
9.621,7.756,22.797,2618,3,0
11.252,8.573,13.77,959,5,0
16.732,4.671,23.935,2496,1,0
10.536,5.556,4.057,1734,0,0
11.321,10.317,3.622,573,7,0
13.448,10.204,15.529,1095,3,0
6.207,7.501,18.457,786,0,0
14.899,9.446,5.223,1682,10,0
6.565,7.261,26.939,1479,5,0
12.423,7.379,13.19,2257,0,0
3.662,6.23,22.755,1301,0,0
7.481,9.083,27.281,1438,0,0
13.816,7.75,21.045,2400,10,0
11.611,6.84,56.484,3235,0,0
11.512,6.887,4.771,1748,0,0
10.509,10.596,3.419,1290,1,0
8.185,8.803,31.973,1142,0,0
15.3,7.309,0.895,2584,1,1
10.298,12.154,38.276,2781,0,0
18.863,7.382,31.018,2015,4,0
2.395,6.988,1.835,982,0,0
11.365,5.298,2.033,1320,2,0
1.305,4.357,4.971,1391,1,1
16.691,9.767,20.346,906,8,0
10.22,6.595,46.357,2052,3,0
16.126,5.8,12.169,952,1,0
18.251,7.51,0.149,1487,2,0
14.32,10.492,36.543,1986,6,0
16.738,10.441,58.266,1574,0,0
6.795,8.613,6.702,969,1,1
7.13,10.867,1.903,1702,0,0
11.204,10.454,31.461,844,5,0
8.889,6.542,13.07,2290,6,0
13.356,10.201,16.442,2134,3,0
12.63,8.838,24.958,1959,0,0
11.66,7.859,22.333,2243,0,0
6.538,7.99,5.629,2409,1,0
13.966,6.527,35.411,1796,1,1
12.813,6.932,51.44,2427,0,0
15.075,8.58,20.128,1085,7,0
11.452,4.737,3.256,1041,0,0
17.047,6.194,11.958,1050,0,0
14.47,5.184,17.718,1498,8,0
12.831,5.758,52.4,1953,7,0
10.197,7.259,6.633,1484,0,0
10.811,8.382,22.345,2472,5,0
11.537,6.191,16.518,2477,0,0
5.305,7.054,15.904,2643,3,0
17.003,9.813,8.679,2296,3,0
15.951,8.128,9.885,1266,3,0
10.83,8.245,17.022,2608,0,0
7.965,7.554,22.615,1436,0,0
10.524,9.542,17.778,1451,2,0
14.553,6.708,26.232,2156,0,0
10.466,8.324,6.809,971,0,0
13.503,7.571,18.532,789,1,0
6.39,5.74,7.59,2922,0,0
18.848,8.119,17.53,1995,5,0
5.627,8.277,1.828,2398,2,0
7.568,8.116,8.517,906,0,0
14.92,6.232,17.365,1206,7,0
6.876,7.327,63.955,1122,0,0
9.669,7.451,29.587,2889,1,0
14.526,7.462,15.889,2120,1,0
9.979,8.716,0.581,1659,3,0
8.266,7.911,31.159,3061,10,0
4.999,9.809,33.678,963,1,0
13.082,7.524,39.153,1995,0,0
16.459,8.306,11.507,1142,0,0
1.63,5.7,4.023,635,0,1
8.766,13.425,18.709,806,8,0
2.01,5.325,20.407,2990,2,0
9.505,8.478,24.967,1737,1,0
17.912,7.338,14.597,1127,0,0
9.532,6.93,1.334,544,0,0
8.927,6.939,34.294,1849,4,0
5.386,7.818,34.153,2250,6,0
4.415,7.115,2.94,1748,3,0
4.553,7.669,28.903,1748,5,0
8.458,10.213,38.499,2461,4,0
2.663,9.616,15.916,2310,3,1
12.638,7.999,18.593,1526,2,0
5.76,9.017,22.472,1134,0,0
16.872,10.084,6.225,1385,0,0
2.774,7.545,9.044,2039,2,0
12.148,6.278,2.151,2737,0,0
10.462,5.382,25.205,557,0,0
13.181,4.813,12.041,1971,6,0
3.667,8.523,5.436,2418,1,0
12.304,7.151,20.955,1578,3,0
15.007,6.854,15.381,1316,2,0
5.781,7.314,19.206,993,0,0
8.563,8.168,21.611,595,0,0
7.4,9.063,55.968,985,1,0
8.189,7.744,12.179,804,3,0
18.142,10.688,6.708,2509,0,0
6.371,5.424,7.964,1943,2,0
11.7,4.767,12.692,1553,0,0
17.414,2.566,20.936,1119,1,0
12.667,12.434,28.361,2672,0,0
8.938,5.321,33.602,1489,0,0
12.663,9.18,22.724,834,1,0
14.844,7.492,33.509,685,2,0
15.628,5.257,16.929,448,3,0
3.003,4.615,38.151,1727,1,0
12.056,5.818,24.277,2581,0,0
16.459,11.118,20.915,1911,2,0
7.023,8.494,30.567,2710,5,0
15.345,4.79,13.638,686,0,0
4.168,6.101,35.573,2737,1,0
2.448,8.132,29.539,1882,5,0
14.798,5.933,28.389,168,2,0
13.361,5.921,30.349,1311,1,0
11.975,5.986,42.464,2699,1,0
6.491,5.337,28.002,1886,1,1
16.63,7.323,14.031,2186,1,0
17.448,7.323,34.212,589,5,0
14.97,8.444,31.953,2305,2,0
11.187,8.618,21.391,1396,4,0
12.789,3.835,24.478,430,0,0
14.652,4.244,11.782,1196,2,0
13.136,7.25,27.598,1535,0,0
8.601,9.468,29.384,1380,4,0
15.519,7.375,24.48,1379,1,0
14.331,4.296,28.005,2646,2,0
5.883,7.009,18.689,684,0,0
8.631,7.579,34.573,1565,6,1
15.239,9.38,0.094,2553,1,1
13.006,7.266,18.584,904,0,1
8.647,3.032,36.135,253,1,0
9.016,5.675,36.161,1966,0,0
11.854,10.434,19.067,2338,0,0
8.461,10.723,10.883,1743,5,0
9.731,8.321,48.398,1577,1,0
9.449,4.439,8.153,1368,3,0
5.288,7.53,30.061,1228,3,1
8.052,5.044,9.298,1826,3,0
2.986,6.182,13.78,1602,2,0
10.693,5.032,38.541,376,2,1
18.025,6.236,33.492,2259,0,0
10.912,6.271,36.24,2009,1,0
7.125,7.027,33.32,1003,4,0
8.469,9.038,28.462,1241,1,0
17.565,9.555,17.889,2547,1,1
10.927,6.436,24.75,2225,6,0
15.997,4.962,27.686,883,0,0
11.909,7.834,34.437,1678,1,0
11.015,6.787,20.523,3129,3,0
6.796,3.243,25.877,2373,0,0
15.615,8.27,19.882,1495,2,0
7.736,5.335,27.563,2094,5,1
11.164,7.933,23.485,1938,1,0
3.864,6.504,32.042,1575,0,0
13.969,6.66,27.581,1709,0,0
5.316,8.91,27.804,1670,0,0
6.839,9.645,9.403,1818,0,0
3.713,5.796,1.122,1275,0,0
18.473,7.811,2.76,680,0,0
8.819,5.41,9.982,3197,0,0
10.987,6.406,16.099,2507,2,0
15.156,9.394,1.931,2368,0,0
13.595,5.848,3.668,1275,0,0
8.697,5.312,23.045,1861,0,0
8.279,9.203,23.718,1124,5,0
12.07,7.959,41.942,2807,3,0
16.54,5.344,26.351,1670,2,0
13.823,6.413,13.503,984,1,0
11.803,6.941,30.616,3168,2,0
1.591,8.855,25.815,396,0,1
14.374,6.382,14.879,1248,3,0
12.002,7.755,5.493,1641,0,0
8.083,6.79,27.559,1841,3,0
12.8,5.54,1.017,553,1,0
7.868,9.185,16.437,1428,2,0
6.55,8.719,14.951,579,6,1
13.367,9.257,5.583,1192,1,0
16.903,6.724,18.865,644,2,0
7.548,4.792,42.258,1065,0,0
14.591,3.039,35.54,1123,4,0
14.843,6.813,48.626,2645,0,0
18.11,6.202,16.716,2047,2,0
8.471,6.957,27.006,2782,10,0
15.674,8.6,20.524,1187,1,0
18.854,9.271,8.395,1758,0,0
5.012,2.893,6.148,1159,0,0
7.49,8.281,13.958,1760,2,0
7.929,9.463,15.132,2361,2,0
11.655,4.639,26.25,243,2,0
15.25,7.231,17.05,776,4,0
14.549,10.228,36.71,826,2,0
12.549,7.54,55.047,1201,1,0
16.239,8.729,26.835,1636,3,0
9.458,6.436,21.54,583,2,0
5.793,6.623,5.727,1161,4,0
15.221,7.865,49.109,1315,5,0
10.302,8.395,43.811,487,3,0
10.813,7.883,28.252,1337,1,0
3.818,7.612,3.226,1716,3,0
15.366,7.493,13.722,1187,2,0
11.606,6.433,27.701,2933,4,0
6.287,7.368,8.69,2046,1,0
7.022,6.857,16.768,1888,2,0
5.586,7.485,13.528,2141,1,0
17.124,7.855,15.358,1764,3,0
9.788,8.727,53.847,3433,2,0
13.551,11.201,19.071,1615,2,0
7.662,9.843,15.324,1918,0,1
14.463,7.057,1.593,116,1,0
7.682,6.226,24.637,1991,6,1
3.811,4.955,23.342,1822,0,0
10.092,10.141,7.948,1428,2,0
10.913,7.572,17.276,2431,0,0
14.543,8.016,54.854,1705,1,0
10.801,9.491,32.564,1527,4,0
9.849,8.594,45.91,522,7,0
15.275,7.352,18.581,2307,6,0
8.938,8.313,22.971,1417,4,0
7.807,5.367,20.445,315,1,0
4.502,11.059,36.287,1434,3,1
7.357,10.061,13.123,2210,1,0
0.422,6.968,26.126,590,5,1
13.826,8.303,12.87,2305,0,0
12.344,9.52,34.122,927,0,0
8.199,7.256,31.942,2297,7,0
10.636,5.638,24.788,461,0,0
12.202,9.92,11.1,2002,0,0
9.047,10.918,45.138,858,2,0
8.687,7.484,21.335,1779,4,0
5.219,7.824,29.191,1839,0,0
8.672,6.137,39.245,606,0,0
17.636,4.631,23.106,407,1,0
8.752,4.841,32.783,2069,5,0
11.644,6.724,33.764,3112,1,0
14.088,4.379,32.616,1493,6,0
4.099,4.86,11.072,1106,1,0
18.246,6.816,19.552,2754,3,0
16.303,8.102,7.032,1611,2,0
6.531,7.655,30.993,1083,3,0
11.424,7.695,28.618,1569,4,0
4.55,6.346,17.502,1612,0,0
4.819,6.192,12.313,2723,2,0
12.922,5.2,27.652,2589,4,0
10.568,9.104,13.284,1431,0,0
7.845,5.537,10.244,634,3,0
8.008,6.322,11.08,1804,1,0
6.823,6.78,23.12,1892,1,0
16.484,6.725,20.143,1052,3,0
9.916,6.341,5.137,704,1,0
8.534,4.626,15.46,1583,1,0
9.407,8.16,3.887,3364,3,0
12.208,10.435,26.445,1800,3,0
12.688,5.915,14.566,2141,3,0
11.987,7.938,14.675,2414,0,0
12.762,6.211,22.394,2097,1,0
9.115,12.013,12.224,1470,2,0
14.978,8.533,6.433,2186,2,0
13.706,8.55,24.322,2938,2,0
18.934,10.547,51.474,2653,0,0
13.498,7.45,27.065,915,2,0
14.999,12.015,30.027,874,0,0
13.248,6.075,50.484,1550,1,0
5.758,11.045,36.432,634,0,0
14.74,9.523,20.707,1932,3,0
10.332,9.085,1.889,1355,4,1
4.627,3.357,10.462,1305,8,0
9.798,6.976,41.115,1578,2,0
14.905,5.465,27.54,1420,6,0
4.015,8.132,18.736,819,6,0
17.409,8.981,3.208,967,0,0
10.839,9.242,2.46,1653,1,0
18.75,10.657,4.429,1364,1,0
2.824,6.77,1.765,1287,0,0
12.688,6.684,42.243,2257,2,0
13.82,6.042,19.384,894,0,0
11.194,7.556,2.293,1735,0,0
15.003,5.993,25.551,337,2,0
6.363,6.819,37.737,875,3,0
2.712,4.738,24.784,1376,1,0
12.135,4.245,26.886,385,2,0
7.473,12.05,20.244,1294,1,0
3.579,7.158,12.983,1108,6,0
6.209,5.663,1.119,829,3,0
6.286,4.47,3.056,965,0,1
11.491,7.153,10.292,1340,8,0
14.514,6.415,14.863,1246,5,0
10.839,9.415,26.785,3135,0,0
11.746,10.544,45.884,1363,3,0
10.349,8.959,13.861,419,0,0
10.718,4.44,19.077,630,0,0
3.139,2.469,15.774,1825,2,0
4.797,11.063,15.646,1192,0,1
10.181,4.356,14.192,1414,0,0
5.933,6.936,43.874,3016,4,0
17.727,6.718,35.709,919,0,0
11.461,10.957,15.788,1702,1,0
8.993,5.36,6.182,2127,6,0
3.212,5.137,26.216,2619,2,1
5.987,6.189,6.038,1519,2,0
16.787,7.666,21.714,2239,0,0
13.141,6.66,4.427,307,5,0
15.217,10.127,40.944,1204,0,0
5.243,6.679,9.203,2164,0,0
4.623,9.964,32.432,2077,4,0
10.045,5.483,15.65,1450,8,0
17.568,8.579,0.743,2049,1,0
8.778,8.674,20.587,1916,5,0
10.162,5.313,14.811,1030,1,0
8.626,6.137,4.379,1627,2,0
8.732,4.749,15.032,2093,7,0
7.391,6.189,37.586,953,3,0
13.947,6.034,26.833,1840,1,0
8.049,6.849,16.607,1627,3,0
4.485,5.935,25.861,1789,0,0
10.499,9.436,13.662,580,4,0
10.232,6.863,33.648,3183,0,0
7.807,8.524,28.305,587,0,0
9.501,8.691,3.142,2632,2,0
10.761,3.872,17.859,1384,1,0
5.796,8.222,15.078,1427,5,0
6.317,7.325,26.258,956,4,0
10.969,9.477,24.87,1189,2,0
5.237,4.452,16.309,973,1,0
3.349,7.832,5.085,1449,2,0
15.366,7.073,8.778,1333,7,0
13.197,7.315,33.086,666,1,0
6.436,8.153,18.227,1379,3,0
10.792,6.652,25.183,860,0,0
11.85,5.254,17.834,1174,1,0
12.068,8.648,17.921,1729,0,0
9.671,2.913,49.551,1046,2,0
1.96,10.146,2.91,1434,6,1
10.363,8.074,4.459,1705,1,0
12.151,5.995,51.381,1941,1,0
15.97,6.817,18.129,1368,0,0
14.637,10.698,21.314,836,0,0
16.27,9.076,21.239,2510,5,0
15.503,6.371,12.154,282,4,0
17.301,8.828,26.305,1179,1,0
13.656,7.937,15.436,910,7,0
10.86,9.523,1.452,1445,1,0
9.336,11.585,25.74,1924,1,0
8.781,6.161,33.329,2335,1,0
16.21,7.406,15.205,1582,1,0
6.795,9.552,2.308,1477,0,0
6.803,4.881,21.797,1575,2,0
15.517,9.586,8.012,1174,0,0
15.521,8.561,28.092,688,0,0
15.762,4.077,16.494,1596,0,0
8.922,7.6,8.703,2862,2,0
11.396,2.149,29.229,907,2,0
9.904,4.55,24.531,1809,1,0
11.678,8.818,17.466,1717,5,0
10.371,12.489,3.285,3194,3,1
12.212,2.188,33.685,1336,5,0
18.361,3.504,26.898,563,9,0
2.236,10.833,30.629,1749,0,0
8.678,4.199,40.679,2159,0,0
4.191,4.171,13.661,1005,4,0
15.657,12.881,21.286,175,0,0
17.171,7.842,21.545,295,1,0
11.628,6.304,4.28,3266,0,0
6.263,9.765,38.305,2977,2,0
13.116,6.133,29.321,910,3,0
9.243,10.695,30.433,2325,1,0
9.772,3.877,24.019,2680,3,0
12.264,8.728,13.791,2330,0,0
2.733,5.052,5.739,737,2,0
8.657,4.098,25.06,1216,1,0
14.559,4.807,25.84,2178,1,0
9.183,7.627,24.895,643,1,0
6.644,7.775,46.972,2773,1,0
9.143,9.705,17.907,2554,4,0
6.117,6.278,16.92,2111,0,1
12.931,8.577,28.005,2295,0,0
12.762,5.385,8.305,2187,5,0
19.344,8.169,16.022,1670,2,0
9.244,8.121,45.36,1015,1,0
4.498,5.174,11.675,2435,2,0
16.278,6.17,34.891,1240,10,0
15.861,9.774,63.451,3047,0,0
16.112,11.589,35.269,1196,4,0
16.717,8.091,34.118,3098,10,1
2.396,5.81,4.665,1004,5,0
15.805,9.426,19.494,928,5,0
9.433,9.663,42.933,1925,0,0
9.237,10.013,38.769,2918,0,0
4.353,7.251,31.814,1077,3,0
2.879,8.441,24.809,766,0,0
9.554,9.091,2.59,2093,2,0
11.132,5.443,27.43,2667,0,0
15.267,4.917,25.289,976,1,0
9.943,10.507,7.52,2526,2,0
17.358,9.285,48.052,678,4,0
15.665,9.527,4.589,1942,0,0
7.484,7.42,28.582,2313,0,0
3.353,10.946,37.445,1066,0,0
11.049,5.651,39.374,876,5,0
9.712,6.761,35.064,1080,1,0
4.153,8.177,41.344,1696,2,0
3.896,4.303,42.263,1508,0,0
14.374,4.999,19.865,1061,1,0
9.586,10.336,5.384,597,2,0
12.757,7.335,5.511,611,0,0
5.876,7.933,24.971,1912,3,0
11.967,10.616,11.28,2537,3,0
14.507,7.387,24.742,1092,0,0
7.769,7.613,7.334,1765,4,0
4.193,8.522,21.262,1731,0,0
4.648,9.421,22.605,2675,0,0
15.061,5.697,44.567,1812,2,0
10.071,10.785,50.99,2244,0,0
10.316,9.169,6.631,659,2,0
13.533,6.595,0.998,2517,1,0
14.324,5.465,14.788,308,0,0
5.672,7.913,25.716,386,2,0
6.692,8.31,31.116,1724,2,0
15.64,12.218,9.408,2293,2,0
16.677,12.38,29.011,1522,1,0
12.979,8.161,13.301,1879,1,0
12.876,9.569,1.975,3156,7,0
7.043,6.877,72.165,1204,2,0
12.193,9.523,5.617,2606,0,0
12.937,7.39,7.287,1280,5,0
10.708,4.385,7.013,1920,1,0
13.827,8.299,2.721,1942,1,0
13.595,7.608,26.716,355,3,0
14.241,10.24,3.356,824,2,0
17.559,8.334,27.883,1539,1,0
2.177,10.367,30.928,2084,4,1
4.672,10.043,26.856,827,1,0
10.198,3.78,15.281,1666,0,0
12.515,10.177,9.482,1635,3,0
11.178,9.417,6.749,2252,0,0
2.098,6.049,30.896,1255,1,0
4.938,6.922,9.199,946,1,0
14.719,6.124,7.92,1831,4,0
10.78,6.89,29.043,181,2,0
14.052,9.302,22.361,1224,0,0
1.658,9.519,45.066,925,0,0
9.278,8.284,15.678,1680,4,0
5.801,3.062,25.261,983,0,0
13.72,1.908,3.245,1913,0,0
10.5,4.998,0.342,1086,0,0
9.487,7.332,50.384,2386,6,0
7.12,6.749,34.146,669,2,0
13.054,2.921,35.213,2194,0,0
12.989,5.538,10.989,1906,0,0
14.586,9.405,25.703,2409,2,0
14.456,8.105,39.82,1164,0,0
3.171,9.229,12.13,2693,2,0
16.122,8.831,24.801,2720,0,0
6.301,9.543,6.826,1175,0,0
11.831,8.288,4.213,1208,1,0
5.227,7.105,16.067,2121,1,0
6.786,7.816,58.836,2126,2,0
7.998,10.253,12.457,672,1,0
12.554,10.451,11.458,696,1,0
10.115,12.754,33.038,1912,2,0
16.122,9.159,26.089,1187,1,0
15.04,8.187,11.079,3092,0,0
11.87,8.91,11.509,1321,5,0
11.196,5.819,2.096,549,0,0
18.416,5.655,13.879,1689,2,0
10.825,5.679,42.026,2473,0,0
11.416,8.836,5.079,2092,1,0
12.61,7.796,25.124,2701,0,0
12.156,10.454,8.557,1881,1,0
13.055,9.29,27.736,1760,0,0
14.821,8.386,8.46,821,7,0
15.767,7.31,25.791,1557,1,0
8.218,8.628,40.353,1475,1,0
6.701,9.842,9.428,981,10,0
13.348,5.912,0.572,1566,1,0
14.424,9.555,35.484,2256,1,0
9.613,7.978,36.833,1467,2,0
8.95,7.475,18.812,655,0,0
15.601,3.952,7.297,271,0,0
11.226,6.194,22.807,353,0,0
7.178,6.533,19.915,2396,2,0
6.986,7.839,20.179,2546,1,0
5.76,7.079,2.688,1791,2,0
4.902,7.626,17.967,1890,0,0
13.526,7.211,6.527,2143,0,0
11.348,6.99,19.978,2413,0,0
13.686,7.983,26.593,2293,3,0
9.492,9.627,9.097,1510,1,0
9.303,8.33,0.391,1178,3,0
13.376,6.67,7.73,2485,2,0
5.047,7.157,5.771,1756,5,0
17.272,9.063,16.772,1136,3,0
10.069,5.608,22.459,2527,4,0
13.162,4.437,11.205,410,7,1
10.965,7.847,11.126,3129,2,0
9.976,8.018,23.139,2787,2,0
15.514,8.294,15.534,901,2,0
8.878,7.667,12.104,1805,0,0
4.029,10.475,23.259,2716,0,0
7.901,6.997,35.151,1492,0,0
16.681,11.655,35.135,890,0,0
15.54,6.5,27.868,2771,0,0
10.289,6.181,7.547,1836,4,0
8.141,10.189,30.517,2967,0,0
13.931,6.732,9.769,1142,2,0
12.503,9.033,12.653,1686,4,0
7.517,11.452,54.849,1038,10,0
8.71,6.704,9.587,2509,6,0
11.228,3.948,26.081,650,2,0
10.217,7.112,23.004,2946,3,0
14.8,7.63,28.11,1690,3,0
12.487,5.233,30.858,2577,0,0
13.953,6.066,31.677,2683,5,0
11.033,5.237,29.881,2288,1,0
12.47,5.017,14.755,2169,0,0
10.803,8.887,15.98,1470,2,0
14.097,10.404,7.025,2470,6,0
5.156,2.937,17.047,2933,1,0
12.716,7.549,42.411,543,1,1
9.884,9.0,14.482,3022,0,0
7.722,5.977,5.668,1602,1,0
7.231,10.004,23.059,370,1,0
16.571,6.154,23.189,1639,1,0
